id,Name,Barcode,Manufacturer,Amount,GS1 Form,Food-grade,Material,Colour
111,Bølgekartofler,5712873642489,Salling,900 g,bag,true,plastic,other-colours
116,Møllehjul,5712874908874,Salling,8 stk,bag,true,plastic,other-colours
117,Hvidløgsbaguettes,5712873998067,Salling,350 g,bag,true,plastic,other-colours
118,Ærter øko,5712873705825,Salling ØKO,400 g,bag,true,plastic,other-colours
121,Græskarboller,5701014074067,Salling,8 stk,bag,true,plastic,other-colours
122,Pommes frites m. krydderi,5712873998968,Salling,750 g,bag,true,plastic,other-colours
126,"Grøntsagsblanding m. broccoli, blomkål og gulerødder",5712873642540,Salling,750 g,bag,true,plastic,other-colours
128,Fuldkornsboller,5701014074029,Salling,6 stk,bag,true,plastic,other-colours
130,Wokblanding,5712873642533,Salling,500 g,bag,true,plastic,other-colours
131,Blomkålsris øko,5712873705801,Salling ØKO,350 g,bag,true,plastic,other-colours
132,Broccolibuketter,5712873642793,Salling,450 g,bag,true,plastic,other-colours
133,Hvidløgsbaguettes m. fuldkorn,5712873998043,Salling,350 g,sleeve,true,plastic,other-colours
134,Mukimamebønner øko,5712871118146,Salling ØKO,300 g,bag,true,plastic,other-colours
135,Helbladet spinat,5712873642526,Salling,750 g,bag,true,plastic,other-colours
138,Pommes frites m. salt og peber,5712873998944,Salling,500 g,bag,true,plastic,other-colours
139,Broccolibuketter øko,5712872423324,Salling ØKO,400 g,bag,true,plastic,other-colours
140,Ærter,5712871808931,Budget,750 g,bag,true,plastic,other-colours
142,Majs,5712873985623,Salling,600 g,bag,true,plastic,other-colours
143,Rugbolle,5701014074005,Salling,6 stk,bag,true,plastic,other-colours
146,Hvedestykker m. kartoffel,5701014074043,Salling,6 stk,bag,true,plastic,other-colours
147,Kød- og melboller,5707196213591,Mou,900 g,sleeve,true,plastic,other-colours
150,Kartoffelbåde,5712874591489,Salling,900 g,bag,true,plastic,other-colours
151,"Klar oksekødssuppe m. gulerødder, selleri og porrer",5741300056162,Mou,1.000 g,bag,true,plastic,black
153,Isterninger,5711178000024,Plusice,2 kg,bag,true,plastic,other-colours
154,Avocado i tern,5712872948452,Vores,250 g,bag,true,plastic,other-colours
155,Kartoffelskiver,5712873642472,Salling,900 g,bag,true,plastic,other-colours
156,Hele kyllingelår med rygben,5712874392468,Salling,1.500 g,bag,true,plastic,other-colours
157,Pizza m. kebab,5712873762330,Salling,390 g,box,false,fibre-based,other-colours
159,Kartoffelbåde m. hvidløg,5712873642465,Salling,600 g,bag,true,plastic,other-colours
161,Miniflutes,5712873998128,Salling,750 g,bag,true,plastic,other-colours
162,Suppekødboller,5707196213621,Mou,700 g,bag,true,plastic,other-colours
163,Forårsruller m. oksekød og grøntsager,5712872367574,Daloon,8 stk,bag,true,plastic,other-colours
164,Kylling i panangkarry m. jasminris medium,8858984830326,Kitchen Joy,350 g,box,true,fibre-based,other-colours
165,Hvidløgsbaguettes,5701012723578,Budget,3 stk,bag,true,plastic,other-colours
168,Rejer str. XL,5701338127029,Princip,300 g,bag,true,plastic,other-colours
169,Panerede fiskefileter,5740301134695,Royal Greenland,600 g,bag,true,plastic,other-colours
170,Frys-selv-is m. vindruesmag,5775345856029,Sun Lolly,10 stk,box,false,fibre-based,other-colours
171,Aspargessuppe,5741300057374,Mou,1 kg,sleeve,true,plastic,other-colours
172,Hot wings m. barbecuemarinade,5712235233331,Kæmpeposen,1.700 g,bag,true,plastic,other-colours
173,Kyllingenuggets,5710405373405,Kæmpeposen,1.800 g,bag,true,plastic,other-colours
174,Pizza m. kylling og barbecuesmag,5712873762354,Salling,395 g,box,false,fibre-based,other-colours
175,Panerede kyllingebøffer,5701012793793,Kæmpeposen,1.800 g,bag,true,plastic,other-colours
176,Kødboller,5707196276695,Tulip,500 g,bag,true,plastic,other-colours
177,Ris m. grøntsager,5712874135935,Salling,600 g,bag,true,plastic,other-colours
179,Grøntsagsblanding til fajita,5712873700073,Salling,450 g,bag,true,plastic,other-colours
183,Edamamebønner,5712873969869,Salling,400 g,bag,true,plastic,other-colours
184,Grøntsagsblanding,5712873705542,Salling,600 g,bag,true,plastic,other-colours
185,Bølgeskårne pommes frites,5712871859360,Budget,1.000 g,bag,true,plastic,other-colours
186,Møllehjul,5712874908898,Salling,25 stk,bag,true,plastic,other-colours
187,Cordon bleu af kylling,5712874330668,Kæmpeposen,1.500 g,bag,true,plastic,other-colours
188,Forårsruller m. oksekød og grøntsager,5741200319107,Daloon,6 stk,bag,true,plastic,other-colours
189,Kyllingenuggets,5706911017377,Chick'n,240 g,box,false,fibre-based,other-colours
190,Smørcroissanter,5712873620999,Salling,280 g,bag,true,plastic,other-colours
192,Øko. Sukkermajs,5712873652921,Salling ØKO,400 g,bag,true,plastic,other-colours
193,Fuldkorns Skagenslapper,5701014052355,Hatting,"0,488 kg",bag,true,plastic,other-colours
194,Groftskårne rodfrugter,5712873705566,Salling,600 g,bag,true,plastic,other-colours
195,Wokblanding øko,5712873705849,Salling ØKO,450 g,bag,true,plastic,other-colours
196,Jordbær,5712872808558,Budget,500 g,box,true,plastic,other-colours
197,Twister Mini,8000920473696,Frisko,"0,4 liter",box,false,fibre-based,other-colours
198,Biksemad,5707196079357,Steff Houlberg,"0,5 kg",box,true,plastic,other-colours
199,Panerede fiskefileter,5740301171553,Vores,2.000 g,box,false,fibre-based,other-colours
200,Granatæblekerner øko,5712874048204,Salling,250 g,bag,true,plastic,other-colours
201,Frikadeller,5712874517403,Salling,480 g,bag,true,plastic,other-colours
203,Grøntsagsblanding,5712874266202,Salling,500 g,bag,true,plastic,other-colours
204,"Kyllingespyd med teriyaki, frossen",5708356005247,CHICK´N´QUICK,1.350 g,box,false,fibre-based,other-colours
206,Blåbær øko,5712874048082,Salling ØKO,225 g,bag,true,plastic,other-colours
207,Kylling,5712874286859,Salling,"1,4 kg",sleeve,true,plastic,other-colours
209,Mælkeis m. karamel og chokoladeovertræk,5000159343343,Mars,250 g,box,false,fibre-based,other-colours
210,Fuldkornspitabrød øko,5712872207559,Vores,4 stk,sleeve,true,plastic,other-colours
211,Mælkeis m. vanilje,8714100377048,Carte d'Or,750 ml,box,true,plastic,clear
212,Laks i portioner,5711869600113,Salling,4 stk,sleeve,true,plastic,white
214,Flødeis m. vanilje,5712873997862,Salling,900 ml,tray,true,plastic,clear
215,Kylling i teriyaki og sød chili m. ris mild,8855702007749,Kitchen Joy,350 g,box,true,fibre-based,other-colours
216,Jordbær,5775345856005,Sun Lolly,"0,6 liter",box,false,fibre-based,other-colours
217,Panerede kyllingebøffer,5706911016318,Chick'n,300 g,box,false,fibre-based,other-colours
218,Parisertoast,5741300021603,Steff Houlberg,"0,2 kg",bag,true,plastic,other-colours
220,Frikadeller,5707196267051,Tulip,455 g,bag,true,plastic,other-colours
221,Hindbær øko,5712874266608,Salling ØKO,200 g,bag,true,plastic,other-colours
222,Passionsfrugt,5712873999026,Salling,250 g,bag,true,plastic,other-colours
223,Mælkeis m. saltkaramel,8712100483240,Carte d'Or,900 ml,tray,true,plastic,other-colours
224,Hønsekød i tern,5712873991648,Salling,350 g,bag,true,plastic,other-colours
226,Pommes frites m. skræl,5710405990961,Princip,700 g,bag,true,plastic,other-colours
227,Grønne bønner,5701012723837,Budget,750 g,bag,true,plastic,other-colours
228,Grøntsagsblanding øko,5712872423300,Salling ØKO,400 g,bag,true,plastic,other-colours
229,Panerede rødspættefileter,5740301133896,Royal Greenland,300 g,bag,true,plastic,other-colours
230,"Mælkeis m. peanuts, karamel og chokoladeovertræk",5710405042158,Snickers,288 g,box,false,fibre-based,other-colours
231,Indisk inspireret grøntsagsblanding,5712873705504,Salling,400 g,bag,true,plastic,other-colours
232,Pizza m. pepperoni og ostefyldt kant,5712873762293,Salling,445 g,box,false,fibre-based,other-colours
