id,Name,Barcode,Manufacturer,Amount,GS1 Form,Food-grade,Material,Colour
111,Bølgekartofler,5.71287E+12,Salling,900 g,bag,TRUE,plastic,other-colours
116,Møllehjul,5.71287E+12,Salling,8 stk,bag,TRUE,plastic,other-colours
117,Hvidløgsbaguettes,5.71287E+12,Salling,350 g,bag,TRUE,plastic,other-colours
118,Ærter øko,5.71287E+12,Salling ØKO,400 g,bag,TRUE,plastic,other-colours
121,Græskarboller,5.70101E+12,Salling,8 stk,bag,TRUE,plastic,other-colours
122,Pommes frites m. krydderi,5.71287E+12,Salling,750 g,bag,TRUE,plastic,other-colours
126,"Grøntsagsblanding m. broccoli, blomkål og gulerødder",5.71287E+12,Salling,750 g,bag,TRUE,plastic,other-colours
128,Fuldkornsboller,5.70101E+12,Salling,6 stk,bag,TRUE,plastic,other-colours
130,Wokblanding,5.71287E+12,Salling,500 g,bag,TRUE,plastic,other-colours
131,Blomkålsris øko,5.71287E+12,Salling ØKO,350 g,bag,TRUE,plastic,other-colours
132,Broccolibuketter,5.71287E+12,Salling,450 g,bag,TRUE,plastic,other-colours
133,Hvidløgsbaguettes m. fuldkorn,5.71287E+12,Salling,350 g,sleeve,TRUE,plastic,other-colours
134,Mukimamebønner øko,5.71287E+12,Salling ØKO,300 g,bag,TRUE,plastic,other-colours
135,Helbladet spinat,5.71287E+12,Salling,750 g,bag,TRUE,plastic,other-colours
138,Pommes frites m. salt og peber,5.71287E+12,Salling,500 g,bag,TRUE,plastic,other-colours
139,Broccolibuketter øko,5.71287E+12,Salling ØKO,400 g,bag,TRUE,plastic,other-colours
140,Ærter,5.71287E+12,Budget,750 g,bag,TRUE,plastic,other-colours
142,Majs,5.71287E+12,Salling,600 g,bag,TRUE,plastic,other-colours
143,Rugbolle,5.70101E+12,Salling,6 stk,bag,TRUE,plastic,other-colours
146,Hvedestykker m. kartoffel,5.70101E+12,Salling,6 stk,bag,TRUE,plastic,other-colours
147,Kød- og melboller,5.7072E+12,Mou,900 g,sleeve,TRUE,plastic,other-colours
150,Kartoffelbåde,5.71287E+12,Salling,900 g,bag,TRUE,plastic,other-colours
151,"Klar oksekødssuppe m. gulerødder, selleri og porrer",5.7413E+12,Mou,1.000 g,bag,TRUE,plastic,black
153,Isterninger,5.71118E+12,Plusice,2 kg,bag,TRUE,plastic,other-colours
154,Avocado i tern,5.71287E+12,Vores,250 g,bag,TRUE,plastic,other-colours
155,Kartoffelskiver,5.71287E+12,Salling,900 g,bag,TRUE,plastic,other-colours
156,Hele kyllingelår med rygben,5.71287E+12,Salling,1.500 g,bag,TRUE,plastic,other-colours
157,Pizza m. kebab,5.71287E+12,Salling,390 g,box,FALSE,fibre-based,other-colours
159,Kartoffelbåde m. hvidløg,5.71287E+12,Salling,600 g,bag,TRUE,plastic,other-colours
161,Miniflutes,5.71287E+12,Salling,750 g,bag,TRUE,plastic,other-colours
162,Suppekødboller,5.7072E+12,Mou,700 g,bag,TRUE,plastic,other-colours
163,Forårsruller m. oksekød og grøntsager,5.71287E+12,Daloon,8 stk,bag,TRUE,plastic,other-colours
164,Kylling i panangkarry m. jasminris medium,8.85898E+12,Kitchen Joy,350 g,box,TRUE,fibre-based,other-colours
165,Hvidløgsbaguettes,5.70101E+12,Budget,3 stk,bag,TRUE,plastic,other-colours
168,Rejer str. XL,5.70134E+12,Princip,300 g,bag,TRUE,plastic,other-colours
169,Panerede fiskefileter,5.7403E+12,Royal Greenland,600 g,bag,TRUE,plastic,other-colours
170,Frys-selv-is m. vindruesmag,5.77535E+12,Sun Lolly,10 stk,box,FALSE,fibre-based,other-colours
171,Aspargessuppe,5.7413E+12,Mou,1 kg,sleeve,TRUE,plastic,other-colours
172,Hot wings m. barbecuemarinade,5.71224E+12,Kæmpeposen,1.700 g,bag,TRUE,plastic,other-colours
173,Kyllingenuggets,5.71041E+12,Kæmpeposen,1.800 g,bag,TRUE,plastic,other-colours
174,Pizza m. kylling og barbecuesmag,5.71287E+12,Salling,395 g,box,FALSE,fibre-based,other-colours
175,Panerede kyllingebøffer,5.70101E+12,Kæmpeposen,1.800 g,bag,TRUE,plastic,other-colours
176,Kødboller,5.7072E+12,Tulip,500 g,bag,TRUE,plastic,other-colours
177,Ris m. grøntsager,5.71287E+12,Salling,600 g,bag,TRUE,plastic,other-colours
